184.0	2.1
184.0	1.8
138.0	1.1
161.0	1.8
253.0	2.9
253.0	1.7
161.0	1.4
69.0	2.6
161.0	0.7
322.0	0.3
46.0	1.1
23.0	0.7
46.0	0.7
46.0	3.0
23.0	4.8
368.0	6.7
345.0	5.9
368.0	3.4
368.0	4.6
368.0	2.9
322.0	1.7
276.0	0.5
276.0	3.7
276.0	3.8
253.0	3.8
253.0	3.9
230.0	4.3
276.0	3.2
253.0	2.0
253.0	4.2
161.0	1.6
92.0	3.2
69.0	5.8
69.0	8.1
69.0	8.2
69.0	8.0
69.0	9.5
92.0	9.7
92.0	9.1
69.0	8.7
69.0	9.5
92.0	9.1
92.0	9.3
92.0	9.6
92.0	9.2
92.0	8.8
92.0	8.6
92.0	8.1
92.0	9.5
92.0	7.5
115.0	8.4
138.0	5.3
92.0	1.5
115.0	8.3
92.0	6.7
92.0	8.2
92.0	7.9
92.0	9.1
92.0	9.4
92.0	9.0
92.0	10.1
92.0	10.6
69.0	10.1
69.0	10.1
69.0	10.1
92.0	9.7
69.0	9.0
69.0	9.0
69.0	9.3
69.0	7.5
69.0	7.4
69.0	8.3
69.0	8.6
69.0	8.0
69.0	8.0
69.0	8.9
69.0	9.5
69.0	11.0
46.0	9.0
69.0	7.7
69.0	9.2
69.0	11.5
92.0	11.3
92.0	12.2
69.0	12.3
92.0	12.8
69.0	12.1
69.0	12.6
69.0	11.3
69.0	13.6
92.0	12.9
92.0	14.1
92.0	15.2
69.0	13.5
69.0	14.0
69.0	14.4
92.0	14.8
92.0	13.7
92.0	15.1
115.0	14.3
69.0	12.4
69.0	13.9
69.0	15.3
69.0	14.9
92.0	15.4
92.0	14.2
92.0	14.3
92.0	13.5
115.0	12.8
92.0	11.6
69.0	10.8
69.0	10.4
92.0	15.0
92.0	12.1
92.0	11.9
92.0	10.6
115.0	10.1
92.0	12.0
92.0	12.3
92.0	12.5
92.0	15.5
92.0	15.3
92.0	16.4
92.0	15.3
92.0	13.2
92.0	13.8
92.0	14.1
92.0	12.5
92.0	12.4
92.0	11.3
92.0	12.6
92.0	12.9
92.0	13.5
92.0	11.7
92.0	11.9
92.0	12.9
92.0	13.6
92.0	14.7
69.0	15.3
69.0	16.9
69.0	18.8
46.0	19.6
46.0	14.2
69.0	17.4
69.0	14.2
46.0	13.3
23.0	10.6
23.0	9.6
23.0	8.4
23.0	6.5
368.0	4.3
46.0	6.8
184.0	1.9
115.0	1.3
253.0	1.4
368.0	0.4
368.0	7.2
345.0	5.6
368.0	4.3
368.0	5.8
368.0	5.5
368.0	6.2
368.0	4.2
368.0	3.6
46.0	2.6
23.0	2.9
23.0	3.1
46.0	2.5
46.0	3.6
46.0	3.7
46.0	3.5
46.0	5.1
23.0	5.7
46.0	3.6
46.0	5.0
46.0	4.7
69.0	4.1
69.0	5.4
92.0	7.5
92.0	6.8
92.0	6.1
69.0	6.1
46.0	4.3
46.0	3.8
92.0	6.5
69.0	5.9
92.0	5.6
69.0	5.3
69.0	4.7
46.0	7.5
69.0	4.9
46.0	3.9
46.0	5.0
46.0	5.9
368.0	3.1
368.0	3.6
368.0	2.5
345.0	3.5
368.0	4.4
23.0	5.1
23.0	5.7
23.0	6.4
23.0	5.3
46.0	5.9
46.0	6.4
46.0	5.0
46.0	4.5
46.0	4.8
69.0	5.1
69.0	6.2
46.0	4.4
46.0	4.1
46.0	3.3
23.0	3.3
23.0	9.6
23.0	8.3
23.0	2.6
253.0	0.1
253.0	2.2
253.0	4.0
230.0	3.5
276.0	2.7
253.0	3.5
276.0	4.2
276.0	4.2
138.0	2.7
23.0	0.3
23.0	0.1
23.0	4.2
23.0	4.6
23.0	5.1
23.0	3.1
46.0	4.0
46.0	2.3
46.0	1.7
368.0	2.1
276.0	1.2
230.0	2.6
276.0	2.0
276.0	1.7
276.0	2.9
